continent;country;cases;deaths;population_19;cum_covid_cases;deaths_x100k;cases_x100k;pol_total;pol_cities;pol_urban;pol_rural;pol_towns;tob_ad_ban;tob_anti;tob_help_quit;tob_monitor;tob_smoke_protect;tob_tax;tob_warns;nulos
Africa;Cape Verde;11357;110;549936;109,873580744;20,002327544;2065,149399203;31,080000000;33,140000000;32,63;27,360000000;32,350000000;4;5;3;2;2;2;2;0
America;Trinidad and Tobago;6879;122;1394969;25,680488132;8,745714062;493,129237997;10,260000000;10,39;10,39;10,02;10,400000000;2;2;4;2;5;3;5;0
Europe;Latvia;25675;349;1919968;57,775268477;18,177386290;1337,261871031;12,02;15,64;14,130000000;9,680000000;11,55;4;5;4;4;4;5;5;0
Asia;United Arab Emirates;184949;617;9770526;76,629598075;6,314910784;1892,927770726;41,75;38,930000000;39,030000000;42,890000000;39,160000000;5;4;5;3;3;4;4;0
Africa;Sao Tome and Principe;1009;17;215048;27,418076577;7,905211860;469,197574495;33,75;36,460000000;36,240000000;31,730000000;29,010000000;4;2;2;1;2;3;2;0
Africa;Equatorial Guinea;5185;85;1355982;20,349748838;6,268519789;382,379707105;25,670000000;28,680000000;27,060000000;25,440000000;26,470000000;2;2;2;1;2;2;2;0
Africa;Liberia;1676;83;4937374;1,806005191;1,681055557;33,945170044;35,8;41,880000000;40,530000000;32,5;33,410000000;2;4;3;2;2;4;2;0
Asia;Afghanistan;49273;1971;38041757;5,352608450;5,181148705;129,523460233;62,490000000;84,040000000;75,190000000;56;62,47;5;2;3;2;5;2;2;0
Asia;Tajikistan;12704;88;9321023;8,465534508;0,944102380;136,294052702;53,650000000;62,650000000;56,800000000;50,580000000;53,850000000;4;2;2;4;5;3;5;0
Asia;Kazakhstan;186277;2552;18551428;51,973036567;13,756353419;1004,111381614;26,5;38,390000000;35,440000000;23,7;31,380000000;4;5;4;4;4;4;5;0
Oceania;Fiji;46;2;889955;0,245279747;0,224730464;5,168800670;7,360000000;;8,140000000;7,230000000;8,140000000;4;3;4;2;3;3;5;1
Africa;Chad;1770;102;15946882;0,588358919;0,639623470;11,099348449;41,150000000;60,700000000;54,010000000;38,740000000;42,970000000;5;2;3;1;5;4;5;0
Europe;Hungary;283870;7130;9772756;134,291471717;72,957925073;2904,707740580;14,240000000;16,07;14,83;13,450000000;14,050000000;4;2;4;4;4;4;5;0
Europe;Italy;1843712;64520;60359546;118,918000121;106,892785443;3054,549151181;14,22;15,550000000;14,730000000;12,260000000;14,010000000;4;2;4;4;2;5;5;0
Africa;Kenya;91892;1587;52573967;8,930622469;3,018604246;174,786125612;12,52;10,01;12,33;12,680000000;14,340000000;5;2;4;2;2;3;4;0
Europe;Slovakia;132984;1175;5450421;112,465511676;21,557967724;2439,884918981;15,89;16,64;16,27;15,5;16,130000000;4;2;5;4;3;5;5;0
Europe;Belgium;608001;17951;11455519;215,297414301;156,701760959;5307,494143216;11,260000000;12,300000000;11,570000000;9,910000000;11,08;4;2;4;4;2;5;5;0
Europe;Slovenia;96314;1459;2080908;214,217797075;70,113623476;4628,460268306;14,08;15,94;14,600000000;13,44;14,070000000;5;2;4;4;3;5;5;0
Asia;Japan;179653;2585;126860299;5,352042573;2,037674529;141,614832549;10,84;11,320000000;11,100000000;9,800000000;10,510000000;2;5;4;4;3;4;4;0
Africa;Seychelles;187;0;97741;9,801570140;0;191,321963148;16,96;;17,44;16,300000000;17,44;5;4;4;2;5;4;5;1
Asia;Thailand;4237;60;69625581;0,250556638;0,086175223;6,085407029;24,640000000;26,340000000;25,480000000;23,860000000;24,130000000;4;5;4;4;5;5;5;0
Africa;Burundi;729;1;11530577;0,348036462;0,008672593;6,322320210;28;29,04;28,380000000;26,310000000;27,980000000;4;2;2;1;5;3;3;0
Africa;Mauritania;10780;222;4525698;11,132861597;4,905320682;238,195301587;41,980000000;54,700000000;51,290000000;35,070000000;38,620000000;5;2;4;2;2;2;5;0
Europe;Iceland;5557;28;356991;63,833907756;7,843334986;1556,621875622;5,790000000;6,070000000;6,200000000;5,560000000;6,550000000;5;2;3;4;2;4;4;0
Asia;Syria;9166;518;17070132;2,734942341;3,034540096;53,696128419;25,140000000;26,570000000;25,310000000;24,900000000;24,070000000;4;2;2;1;4;3;2;0
Asia;Oman;126240;1471;4974992;106,198959277;29,567886742;2537,491517574;34,880000000;36,910000000;35,760000000;34,450000000;34,400000000;4;2;2;3;2;4;4;0
Asia;Qatar;140961;240;2832071;207,793797114;8,474363814;4977,311656381;59,040000000;60,940000000;59,960000000;53,160000000;54,520000000;5;5;4;4;2;4;5;0
America;Grenada;69;0;112002;1,848954610;0;61,606042749;10,08;;10,22;9,84;10,22;2;2;2;2;2;1;2;1
Europe;Finland;30810;453;5517919;21,228408144;8,209616705;558,362672595;5,470000000;6,400000000;6,210000000;5,060000000;6,030000000;5;4;4;4;2;5;5;0
Europe;Greece;124534;3625;10724599;45,200033941;33,800797587;1161,199593570;14,620000000;16,160000000;15,580000000;12,700000000;14,370000000;4;2;4;4;5;5;5;0
Africa;Guinea-Bissau;2444;44;1920917;7,089114210;2,290572680;127,230900658;34,850000000;42,650000000;40,06;31,470000000;34,820000000;2;2;2;1;2;1;2;0
Europe;Belarus;160295;1263;9452409;66,678295101;13,361673199;1695,811089004;15,480000000;17,510000000;17,190000000;13,410000000;14,670000000;4;5;4;3;2;4;5;0
Europe;United Kingdom;1849403;64170;66647112;108,006732464;96,283241800;2774,918439077;9,520000000;10,06;9,710000000;7,820000000;8,830000000;4;5;4;4;5;5;5;0
Europe;Croatia;175886;2640;4076246;155,898769733;64,765472938;4314,901504963;15,29;15,22;15,490000000;15,090000000;15,810000000;4;2;4;4;4;5;5;0
America;Uruguay;9708;92;3461731;11,436276527;2,657629954;280,437734763;8,480000000;8,460000000;8,510000000;8,240000000;8,600000000;5;2;4;4;5;4;5;0
Oceania;Australia;28031;908;25203200;4,610219530;3,602717115;111,220003809;8,930000000;9,080000000;9,120000000;7,940000000;9,190000000;4;2;4;4;5;4;5;0
Oceania;Marshall Islands;4;0;58791;2,151189608;0;6,803762481;7,21;;7,550000000;7,07;7,550000000;2;2;4;3;5;4;2;1
America;Nicaragua;5887;162;6545503;4,852257361;2,474981678;89,939611975;16;17,07;16,73;15,46;16,27;2;2;3;2;4;4;4;0
America;Guatemala;129282;4423;17581476;38,248705756;25,157159729;735,330753800;20,75;23,310000000;21,78;19,190000000;20,450000000;2;4;4;3;5;3;2;0
Europe;Moldova;126518;2572;4043258;152,066988408;63,612067298;3129,110237338;12,370000000;13,630000000;12,740000000;12,06;12,29;5;2;4;4;3;4;5;0
America;Bolivia;147150;9018;11513102;67,140206476;78,328151701;1278,109062180;25,230000000;27,430000000;26,890000000;24,550000000;24,550000000;4;4;2;3;5;3;5;0
Europe;Russia;2653928;46941;145872260;70,440558349;32,179524743;1819,350711369;8,880000000;10,19;9,860000000;7,740000000;9,080000000;5;5;4;4;5;4;5;0
America;Paraguay;93582;1953;7044639;66,110381751;27,723209096;1328,414415558;12,31;13,5;13,23;11,46;12,490000000;4;3;4;2;5;2;3;0
America;Suriname;5353;117;581363;49,876751796;20,125119762;920,767231489;12,17;13,21;13,030000000;10,89;12,780000000;5;2;3;2;5;3;5;0
America;Cuba;9423;137;11333484;4,163808588;1,208807459;83,143012334;13,32;18,71;15,86;10,86;12,93;2;5;4;2;3;1;3;0
Asia;Singapore;58320;29;5804343;41,703961147;0,499625884;1004,764880366;13,330000000;13,330000000;13,330000000;9,980000000;;4;4;5;4;3;4;5;1
Europe;Armenia;148682;2503;2957728;206,106206372;84,625766805;5026,899025198;34,130000000;38,260000000;36,240000000;28,410000000;33,240000000;4;4;4;4;4;3;5;0
America;Dominican Republic;154692;2361;10738957;59,155010096;21,985375302;1440,475085243;7,59;7,980000000;7,760000000;7,100000000;7,25;2;2;3;2;3;3;2;0
Europe;Estonia;18055;149;1324820;47,931494399;11,246810888;1362,826648148;6,350000000;6,67;6,610000000;5,790000000;6,57;4;5;4;4;2;5;5;0
Asia;Pakistan;440787;8832;216565317;8,200112393;4,078215350;203,535361112;50,130000000;53,180000000;51,590000000;48,520000000;50,020000000;4;4;4;4;5;4;5;0
America;Peru;984973;36677;32510462;155,952474279;112,815991357;3029,710866613;29,070000000;32,7;31,740000000;26,070000000;27,54;2;3;4;4;5;4;5;0
Europe;Denmark;109758;941;5806081;66,595531555;16,207145577;1890,397326527;9,660000000;10,700000000;10,120000000;8,800000000;9,570000000;4;4;5;4;2;5;5;0
Europe;Bulgaria;179449;5688;7000039;122,842600770;81,256690141;2563,542860261;17,29;18,630000000;18,56;16,52;18,490000000;4;2;4;4;5;5;5;0
Africa;Burkina Faso;4030;71;20321383;0,861758336;0,349385669;19,831327425;40,740000000;51,290000000;46,040000000;38;38,470000000;4;2;3;1;5;3;5;0
Africa;Democratic Republic of the Congo;14512;355;86790568;0,836164733;0,409030622;16,720710942;31,580000000;39,290000000;37,44;29,130000000;33,730000000;5;2;2;1;3;4;4;0
Africa;Mauritius;515;10;1269670;1,927030337;0,787606228;40,561720762;10,48;9,89;10,48;10,53;11,130000000;5;2;4;3;4;5;5;0
America;Bahamas;7674;163;389486;105,219358800;41,850027986;1970,289047617;5,200000000;4,860000000;5,200000000;5,200000000;5,520000000;2;2;4;4;2;3;2;0
Africa;Nigeria;73175;1197;200963603;1,493489926;0,595630245;36,412066119;55,640000000;54,56;55,330000000;56,020000000;56,480000000;5;2;4;1;2;3;5;0
Europe;Cyprus;15101;78;875899;76,768565136;8,905136323;1724,057225776;14,52;16,29;15,46;13,010000000;14,550000000;4;4;4;4;4;4;5;0
Africa;Guinea;13420;79;12771246;5,548335715;0,618577075;105,079801924;37,570000000;45,360000000;42,380000000;34,170000000;35,010000000;5;2;2;1;3;2;3;0
America;El Salvador;41880;1205;6453550;33,871928790;18,671893764;648,945154217;22,150000000;23,840000000;22,760000000;20,420000000;21,510000000;4;5;4;3;5;3;5;0
Europe;Andorra;7338;79;76177;488,111762525;103,705842971;9632,828806595;8,520000000;;8,880000000;7,960000000;8,880000000;2;2;4;1;3;5;2;1
Africa;Central African Republic;4936;63;4745179;5,564025899;1,327663298;104,021365685;27,200000000;34,650000000;32,170000000;25,46;26,660000000;2;2;2;1;2;1;2;0
Asia;Jordan;259614;3365;10101697;126,728894555;33,311234736;2570,003832029;25,870000000;26,280000000;25,760000000;26,470000000;24,730000000;5;4;5;2;5;5;3;0
Europe;Lithuania;95021;825;2794184;119,377646481;29,525614634;3400,670821964;10,370000000;11,83;11,67;9,390000000;11,52;4;2;4;4;3;4;5;0
Asia;Bangladesh;490533;7052;163046173;15,683715847;4,325155182;300,855267544;45,990000000;50,120000000;46,850000000;37,980000000;42,470000000;4;4;3;4;3;4;5;0
Europe;Czechia;581079;9609;10649800;215,437377713;90,227046517;5456,243309734;14,340000000;15,03;14,9;13,56;14,82;4;4;5;4;3;5;5;0
Oceania;Solomon Islands;17;0;669821;0,60988031;0;2,537991493;7,83;8,780000000;8,700000000;7,640000000;8,38;4;2;4;2;3;1;5;0
Africa;Somalia;4579;121;15442906;1,584745573;0,783531286;29,651155035;14,280000000;14,92;14,410000000;14,260000000;13,530000000;2;2;2;1;2;2;2;0
Asia;Saudi Arabia;359888;6048;34268529;54,074293485;17,648846264;1050,199732822;57,160000000;60,92;60,730000000;56,220000000;60,540000000;5;5;5;2;4;4;5;0
Africa;Djibouti;5728;61;973557;31,744457448;6,265683468;588,357949252;19,980000000;21,04;20,72;19,810000000;18,620000000;5;2;2;1;4;1;5;0
Africa;Libya;90779;1299;6777453;71,241587059;19,166492191;1339,426477764;29,840000000;28,400000000;28,260000000;30,21;28,110000000;5;2;4;1;5;2;2;0
Asia;China;92021;4739;1433783692;0,266205226;0,330524055;6,418053191;38,150000000;39,120000000;40,170000000;31,130000000;41,420000000;4;5;4;4;2;4;3;0
Asia;Nepal;248423;1698;28608715;36,449988952;5,935254345;868,347285084;36,430000000;36,75;36,920000000;35,680000000;37,140000000;5;2;2;3;5;3;5;0
Africa;Côte d'Ivoire;21680;133;25716554;4,444164376;0,517176601;84,303674590;40,410000000;54,060000000;46,580000000;36,040000000;36,040000000;5;4;4;2;2;3;2;0
Africa;Namibia;16536;160;2494524;32,640809406;6,414049334;662,891998634;11,81;14,04;13,130000000;10,81;12,34;4;5;4;1;5;3;5;0
Oceania;New Zealand;1740;25;4783062;1,539030957;0,522677732;36,378370174;8,610000000;8,540000000;8,690000000;8,310000000;8,930000000;4;5;5;4;5;5;5;0
Asia;Maldives;13368;48;530957;130,279916656;9,040280098;2517,718007296;13;12,34;12,69;13,79;13,880000000;5;2;4;2;3;4;4;0
Africa;South Sudan;3206;62;11062114;1,667553477;0,560471534;28,981802212;20,18;20,65;21,36;20,11;21,870000000;2;2;1;1;2;4;2;0
Asia;South Korea;43484;587;51225321;3,136946627;1,145917661;84,887706219;24,04;24,220000000;24,380000000;21,950000000;25,050000000;2;5;5;4;2;4;4;0
Asia;Sri Lanka;32790;152;21323734;5,670096145;0,712820747;153,772317738;23,880000000;25,260000000;24,79;23,150000000;22,950000000;4;2;4;3;4;5;5;0
Europe;North Macedonia;73638;2121;2077132;139,862319775;102,111950516;3545,176714816;25,170000000;32,75;28,670000000;23,170000000;23,79;4;2;4;3;5;5;4;0
Africa;United Republic of Tanzania;509;21;58005461;0,046560603;0,036203488;0,877503585;15,36;15,930000000;16,120000000;14,470000000;16,27;4;2;3;3;2;3;3;0
Asia;Vietnam;1397;35;96462108;0,059775451;0,036283677;1,448237063;20,890000000;23,280000000;22,120000000;17,670000000;20,930000000;4;5;4;4;4;3;5;0
Africa;Sudan;21386;1347;42813237;2,424972271;3,146223211;49,951840829;21,43;24,420000000;23,46;21;22,240000000;4;2;4;2;2;4;2;0
Asia;Uzbekistan;75094;612;32981715;12,040631897;1,855573611;227,683733244;40,980000000;46,630000000;44,550000000;38,19;43,490000000;4;2;4;2;2;4;3;0
Europe;Serbia;266432;2331;6963764;168,013608173;33,473276808;3825,976871129;21,740000000;21,910000000;22,330000000;20,870000000;22,670000000;4;2;4;4;3;5;3;0
Africa;Gambia;3782;123;2347696;8,672924417;5,239179178;161,094110992;39,100000000;43,5;41,400000000;34,420000000;34,910000000;5;4;2;2;5;3;5;0
Asia;Iraq;574634;12579;39309789;60,038123587;31,999662985;1461,808914823;39,290000000;45,440000000;42,960000000;36,960000000;37,970000000;5;4;4;3;3;2;4;0
Europe;Ireland;76185;2124;4904240;63,303249506;43,309462832;1553,451707094;8,200000000;8,660000000;8,680000000;7,5;8,700000000;4;5;5;4;5;5;5;0
Oceania;Papua New Guinea;725;8;8776119;0,425070439;0,091156467;8,261054801;8,890000000;9,670000000;9,510000000;8,780000000;9,240000000;4;2;2;2;5;4;3;0
Africa;Morocco;399609;6624;36471766;54,573238845;18,161994130;1095,666713808;13,44;13,92;13,73;12,8;13,2;4;5;3;3;3;5;2;0
America;United States of America;16256754;299177;329064917;187,879385939;90,917318907;4940,287815611;7,180000000;7,570000000;7,41;6,420000000;7,100000000;2;5;5;4;2;3;5;0
Africa;Togo;3251;66;8082359;2,041718407;0,816593274;40,223405073;35,660000000;39,420000000;37,880000000;33,660000000;33,87;5;5;2;1;3;3;4;0
Europe;Turkey;995471;16199;82003882;52,946695874;19,753942868;1213,931555094;23,25;23,340000000;23,28;23,22;23,140000000;5;5;5;4;5;5;5;0
America;Guyana;5920;155;782775;38,631888264;19,801347769;756,283734151;11,11;12,010000000;11,7;10,33;11,25;5;5;4;3;5;3;5;0
Europe;Bosnia and Herzegovina;101117;3336;3300998;152,283146986;101,060345992;3063,225121615;26,190000000;32,53;29,670000000;23,900000000;28,310000000;4;4;4;2;2;5;2;0
Europe;Portugal;348744;5559;10276617;160,421235046;54,093676937;3393,568136285;7,340000000;7,980000000;7,630000000;6,580000000;7,290000000;4;2;4;4;4;5;5;0
Europe;Luxembourg;41272;396;613894;260,512845422;64,506250265;6722,984749810;8,890000000;8,740000000;9,110000000;8,430000000;9,25;4;2;5;4;3;4;5;0
Europe;Romania;556335;13385;19414458;111,023751997;68,943464711;2865,570596923;13,300000000;14,61;14,11;12,23;13,71;4;2;4;4;5;4;5;0
Europe;Ukraine;900666;15247;43993643;98,769238800;34,657279917;2047,263964932;13,510000000;15,200000000;14,510000000;12,150000000;13,120000000;4;5;3;4;4;4;5;0
Africa;Zimbabwe;11246;307;14645473;4,004036990;2,096210891;76,788233470;13,08;15,010000000;14,470000000;12,34;13,070000000;2;2;4;1;3;3;2;0
Africa;Sierra Leone;2440;75;7813207;1,770732817;0,959913132;31,229173885;39,420000000;45,420000000;43,320000000;36,64;38,190000000;2;2;2;2;2;2;2;0
Europe;Georgia;191063;1839;3996762;175,482097668;46,012246914;4780,444770041;19,060000000;21,660000000;20,850000000;16,93;18,640000000;4;5;4;4;4;5;5;0
Europe;Poland;1135676;22864;37972812;144,829539378;60,211500797;2990,760863325;18,830000000;20,360000000;19,900000000;17,36;19,510000000;4;3;4;4;3;5;5;0
Asia;Bahrain;89143;348;1641164;223,512419060;21,204462199;5431,693602833;51,820000000;51,590000000;51,840000000;51,380000000;56,480000000;5;4;4;3;2;4;4;0
Africa;Algeria;92102;2596;43053054;8,636940988;6,029769688;213,926751863;22,680000000;23,75;22,850000000;22,380000000;21,740000000;5;1;3;2;3;3;2;0
Africa;Cameroon;25143;443;25876387;5,077871563;1,711985526;97,165806030;56,370000000;62,020000000;61,630000000;53,31;60,520000000;4;2;4;1;3;3;5;0
Asia;Myanmar;108342;2268;54045422;10,172006682;4,196470147;200,464712811;27,160000000;27,850000000;27,75;26,890000000;27,580000000;4;5;4;4;3;3;4;0
Europe;San Marino;1947;51;34453;216,703086192;148,027747946;5651,176965721;9,850000000;;9,850000000;;9,850000000;4;2;2;2;3;1;2;1
America;Ecuador;202110;13875;17373657;48,022971707;79,862288061;1163,312939815;16,550000000;17,310000000;16,910000000;16,190000000;16,140000000;4;2;4;4;5;4;5;0
Africa;Madagascar;17638;258;26969306;3,548174242;0,956643082;65,400273926;16,02;20,890000000;18,43;14,73;16,740000000;5;2;3;3;5;5;5;0
Africa;Egypt;121575;6920;100388076;4,969827406;6,893248955;121,105020481;63,160000000;66,420000000;64,100000000;46,730000000;59,270000000;4;3;4;4;5;5;5;0
America;Dominica;87;0;71808;5,926784636;0;121,156417112;8,220000000;;8,380000000;7,870000000;8,380000000;2;2;2;1;2;2;2;1
America;Saint Kitts and Nevis;27;0;52834;1,930424194;0;51,103456108;8,050000000;;7,620000000;8,080000000;7,620000000;2;2;3;1;2;1;2;1
